dataset,num_blocks,embed_dim,pretrained_source,type,batch_size,update_iters,repeat_idx,data_aug,acc,ece,nll,time_taken
cifar10,6,512,in21k,ibprobit,512,2,88,False,0.8542999625205994,0.0989304035902023,0.6299908757209778,5.570951700210571
cifar10,6,512,in21k,ibprobit,512,2,73,False,0.8555999994277954,0.0991051420569419,0.6261305212974548,5.5697784423828125
cifar10,6,512,in21k,ibprobit,512,2,90,False,0.8568999767303467,0.0992676839232444,0.6277610659599304,5.776887655258179
cifar10,6,512,in21k,ibprobit,512,2,93,False,0.8544999957084656,0.0966705754399299,0.6268706917762756,5.662708044052124
cifar10,6,512,in21k,ibprobit,512,2,87,False,0.8567000031471252,0.0995451062917709,0.6261234283447266,5.552145957946777
cifar10,6,512,in21k,ibprobit,512,2,13,False,0.8554999828338623,0.0976571962237358,0.627945601940155,5.761132717132568
cifar10,6,512,in21k,ibprobit,512,2,0,False,0.8561999797821045,0.0991822257637977,0.627681314945221,5.873431921005249
cifar10,6,512,in21k,ibprobit,512,2,53,False,0.8557999730110168,0.0988272875547409,0.6276112198829651,5.679652452468872
cifar10,6,512,in21k,ibprobit,512,2,18,False,0.8568999767303467,0.0991204380989074,0.6282816529273987,5.752307891845703
cifar10,6,512,in21k,ibprobit,512,2,20,False,0.8557999730110168,0.0977551415562629,0.6257438063621521,5.631629467010498
cifar10,6,512,in21k,ibprobit,512,2,16,False,0.8571999669075012,0.1005903035402298,0.6277526021003723,5.653267860412598
cifar10,6,512,in21k,ibprobit,512,2,76,False,0.8553999662399292,0.0980654135346412,0.6280598044395447,5.527138233184815
cifar10,6,512,in21k,ibprobit,512,2,25,False,0.8547999858856201,0.0972681194543838,0.627727746963501,5.5301923751831055
cifar10,6,512,in21k,ibprobit,512,2,32,False,0.8562999963760376,0.0985913574695587,0.6255531311035156,5.704777717590332
cifar10,6,512,in21k,ibprobit,512,2,42,False,0.8547999858856201,0.0988553538918495,0.6298961639404297,5.748736381530762
cifar10,6,512,in21k,ibprobit,512,2,82,False,0.8544999957084656,0.0992363691329956,0.6301981210708618,5.641432046890259
cifar10,6,512,in21k,ibprobit,512,2,92,False,0.8549999594688416,0.0961145907640457,0.6265423893928528,5.586932420730591
cifar10,6,512,in21k,ibprobit,512,2,39,False,0.8574999570846558,0.1012684553861618,0.629676342010498,5.675387859344482
